Date,HomeTeam,AwayTeam,FTR,season,home_odds,draw_odds,away_odds,goals_scored,goals_conceded,ELO,matchDay,avg_goals_scored,avg_goals_conceded,points,avg_points_game,elo_change_trend,goals_scored_trend,goals_conceded_trend,goals_scored_away,goals_conceded_away,ELO_away,matchDay_away,avg_goals_scored_away,avg_goals_conceded_away,points_away,avg_points_game_away,elo_change_trend_away,goals_scored_trend_away,goals_conceded_trend_away
2015-09-19,Swansea,Everton,D,2016,2.3,3.4,3.4,7,5,1009.43,6,1.167,0.833,9,1.5,,,,8,5,1014.53,6,1.333,0.833,9,1.5,,,
2015-09-20,Liverpool,Norwich,D,2016,1.67,3.94,5.75,4,7,991.49,6,0.667,1.167,8,1.333,,,,9,10,997.86,6,1.5,1.667,8,1.333,,,
2015-09-20,Southampton,Man United,A,2016,3.2,3.2,2.46,7,8,987.52,6,1.167,1.333,6,1.0,,,,9,5,1031.26,6,1.5,0.833,13,2.167,,,
2015-09-20,Tottenham,Crystal Palace,H,2016,1.99,3.6,4.0,5,4,1011.29,6,0.833,0.667,9,1.5,,,,8,7,1001.42,6,1.333,1.167,9,1.5,,,
2015-09-26,Leicester,Arsenal,A,2016,4.4,3.9,1.85,15,14,1009.3,7,2.143,2.0,12,1.714,6.42,1.4,1.2,10,7,1027.18,7,1.429,1.0,13,1.857,8.85,0.6,0.4
2015-09-26,Liverpool,Aston Villa,H,2016,1.53,4.2,7.0,7,9,998.49,7,1.0,1.286,11,1.571,-28.78,0.4,1.4,8,12,961.98,7,1.143,1.714,4,0.571,-30.83,1.0,1.6
2015-09-26,Man United,Sunderland,H,2016,1.22,6.9,13.75,12,5,1039.03,7,1.714,0.714,16,2.286,10.07,1.4,1.0,6,16,948.31,7,0.857,2.286,2,0.286,-19.74,0.6,1.2
2015-09-26,Newcastle,Chelsea,D,2016,5.98,4.0,1.62,5,11,956.77,7,0.714,1.571,3,0.429,-30.08,0.2,1.0,11,14,991.31,7,1.571,2.0,8,1.143,1.82,1.4,1.4
2015-09-26,Southampton,Swansea,H,2016,2.05,3.3,4.07,10,9,996.87,7,1.429,1.286,9,1.286,3.5,1.0,0.6,8,8,1000.08,7,1.143,1.143,9,1.286,-1.83,0.6,0.6
2015-09-26,Stoke,Bournemouth,H,2016,2.5,3.3,3.0,7,10,977.89,7,1.0,1.429,6,0.857,-19.82,0.6,1.2,9,11,982.68,7,1.286,1.571,7,1.0,11.17,1.6,1.4
2015-09-26,Tottenham,Man City,H,2016,4.0,3.6,1.95,9,5,1023.07,7,1.286,0.714,12,1.714,21.78,0.6,0.2,13,6,1036.5,7,1.857,0.857,15,2.143,20.12,1.2,0.4
2015-09-26,West Ham,Norwich,D,2016,2.25,3.49,3.4,15,9,1026.47,7,2.143,1.286,13,1.857,28.44,2.0,1.0,11,12,1001.53,7,1.571,1.714,9,1.286,-2.32,1.0,1.2
2015-09-27,Watford,Crystal Palace,A,2016,2.5,3.2,3.0,5,6,996.52,7,0.714,0.857,9,1.286,10.76,0.6,0.6,9,7,1015.12,7,1.286,1.0,12,1.714,0.33,0.8,0.8
2015-09-28,West Brom,Everton,A,2016,3.06,3.3,2.5,6,9,983.43,7,0.857,1.286,8,1.143,11.59,0.8,0.6,11,7,1027.47,7,1.571,1.0,12,1.714,-1.45,0.6,0.6
2015-10-03,Aston Villa,Stoke,A,2016,2.5,3.3,2.95,8,13,949.07,8,1.0,1.625,4,0.5,-30.31,1.2,1.8,8,10,990.8,8,1.0,1.25,9,1.125,-14.67,0.8,1.2
2015-10-03,Bournemouth,Watford,D,2016,2.1,3.34,3.72,10,12,980.28,8,1.25,1.5,8,1.0,-11.07,1.0,1.2,6,7,998.92,8,0.75,0.875,10,1.25,0.24,0.6,0.8
2015-10-03,Chelsea,Southampton,A,2016,1.83,3.7,4.8,12,17,976.15,8,1.5,2.125,8,1.0,-9.61,1.2,1.4,13,10,1012.03,8,1.625,1.25,12,1.5,9.67,1.6,0.8
2015-10-03,Crystal Palace,West Brom,H,2016,1.83,3.5,5.0,11,7,1022.78,8,1.375,0.875,15,1.875,6.51,0.6,0.6,6,11,975.77,8,0.75,1.375,8,1.0,11.97,0.8,0.6
2015-10-03,Man City,Newcastle,H,2016,1.25,6.9,13.0,19,7,1048.32,8,2.375,0.875,18,2.25,-6.7,1.0,1.2,6,17,944.95,8,0.75,2.125,3,0.375,-35.62,0.6,1.4
2015-10-03,Norwich,Leicester,A,2016,2.3,3.44,3.2,12,14,988.29,8,1.5,1.75,9,1.125,4.42,1.2,1.4,17,15,1022.54,8,2.125,1.875,15,1.875,-9.34,1.6,2.0
2015-10-03,Sunderland,West Ham,D,2016,3.1,3.4,2.4,8,18,947.72,8,1.0,2.25,3,0.375,-25.69,0.4,1.6,17,11,1027.06,8,2.125,1.375,14,1.75,38.79,1.8,0.6
2015-10-04,Arsenal,Man United,H,2016,2.01,3.67,3.8,13,7,1037.95,8,1.625,0.875,16,2.0,30.52,1.6,0.8,12,8,1028.26,8,1.5,1.0,16,2.0,21.49,2.0,1.0
